metric,finetune_base,value,plage,inference_base
bias,base1,0.14265043969347943,0.25,UD
smad,base1,0.028912089957124784,0.25,UD
outl,base1,0.2362193715181859,0.25,UD
bias,base1,0.010224703575777044,0.75,UD
smad,base1,0.018927614327009613,0.75,UD
outl,base1,0.08778727952798757,0.75,UD
bias,base1,0.0023281483718934222,1.25,UD
smad,base1,0.023198384129424553,1.25,UD
outl,base1,0.12595694153279516,1.25,UD
bias,base1,-0.014531135603811645,1.75,UD
smad,base1,0.034607769738845676,1.75,UD
outl,base1,0.24643857297903088,1.75,UD
bias,base1,-0.02721008980629641,2.25,UD
smad,base1,0.050613172892251944,2.25,UD
outl,base1,0.3482844355695391,2.25,UD
bias,base1,-0.09309265749893927,2.75,UD
smad,base1,0.049133441730193086,2.75,UD
outl,base1,0.3536250604951356,2.75,UD
bias,base1,-0.058785144587280375,3.25,UD
smad,base1,0.03839576789530299,3.25,UD
outl,base1,0.27465277768241225,3.25,UD
bias,base1,-0.1471278222957128,3.75,UD
smad,base1,0.07943135606225564,3.75,UD
outl,base1,0.5370569274575113,3.75,UD
bias,base1,-0.29737128363940735,4.25,UD
smad,base1,0.1251606691546161,4.25,UD
outl,base1,0.573208720955736,4.25,UD
bias,base1,-0.3289599770943636,4.75,UD
smad,base1,0.18462819949370524,4.75,UD
outl,base1,0.6564417137641613,4.75,UD
bias,base1,-0.5496926732887241,5.25,UD
smad,base1,0.015380119685784933,5.25,UD
outl,base1,0.8888888559670793,5.25,UD
bias,base1,-0.6456057404515287,5.75,UD
smad,base1,0.0841473134612766,5.75,UD
outl,base1,0.9999997500000625,5.75,UD
bias,base2,0.11892501910103932,0.25,UD
smad,base2,0.02355419231705948,0.25,UD
outl,base2,0.19528819601540465,0.25,UD
bias,base2,0.0068103904729521735,0.75,UD
smad,base2,0.015269296725891458,0.75,UD
outl,base2,0.06449950370190694,0.75,UD
bias,base2,0.0032546335714647586,1.25,UD
smad,base2,0.020212591104688808,1.25,UD
outl,base2,0.10427147454600283,1.25,UD
bias,base2,-0.01569422165376954,1.75,UD
smad,base2,0.027282626532886364,1.75,UD
outl,base2,0.20236210883950065,1.75,UD
bias,base2,-0.025347458303243673,2.25,UD
smad,base2,0.040165681362170205,2.25,UD
outl,base2,0.2596718050462783,2.25,UD
bias,base2,-0.08616437516283167,2.75,UD
smad,base2,0.03616944700668988,2.75,UD
outl,base2,0.26336186012217633,2.75,UD
bias,base2,-0.06092792252548342,3.25,UD
smad,base2,0.031127402803767638,3.25,UD
outl,base2,0.23159722214180653,3.25,UD
bias,base2,-0.0810980763554781,3.75,UD
smad,base2,0.05491386700056457,3.75,UD
outl,base2,0.40816326486770865,3.75,UD
bias,base2,-0.14487244248074005,4.25,UD
smad,base2,0.04641840238946711,4.25,UD
outl,base2,0.3520249210217292,4.25,UD
bias,base2,-0.3023201007711601,4.75,UD
smad,base2,0.1179884365645146,4.75,UD
outl,base2,0.5460122665888818,4.75,UD
bias,base2,-0.6320356936215415,5.25,UD
smad,base2,0.010219564948649515,5.25,UD
outl,base2,0.9629629272976693,5.25,UD
bias,base2,-0.6878837704757561,5.75,UD
smad,base2,0.044910350190814054,5.75,UD
outl,base2,0.9999997500000625,5.75,UD
bias,base3,0.10114907943059871,0.25,UD
smad,base3,0.02003161303158981,0.25,UD
outl,base3,0.16998147435527347,0.25,UD
bias,base3,0.004275547549333853,0.75,UD
smad,base3,0.014369862191631522,0.75,UD
outl,base3,0.06217072611929887,0.75,UD
bias,base3,0.003312444893707296,1.25,UD
smad,base3,0.018577421243319323,1.25,UD
outl,base3,0.0931162703467451,1.25,UD
bias,base3,-0.010628653390989324,1.75,UD
smad,base3,0.026360504573227358,1.75,UD
outl,base3,0.18507244611073465,1.75,UD
bias,base3,-0.02259341557895272,2.25,UD
smad,base3,0.0368820308211764,2.25,UD
outl,base3,0.22933863747097577,2.25,UD
bias,base3,-0.08447197533489147,2.75,UD
smad,base3,0.033069173884419656,2.75,UD
outl,base3,0.23268206035319197,2.75,UD
bias,base3,-0.05161659950621325,3.25,UD
smad,base3,0.02754497562979518,3.25,UD
outl,base3,0.19236111104431908,3.25,UD
bias,base3,-0.07208263042500325,3.75,UD
smad,base3,0.04899780005149439,3.75,UD
outl,base3,0.3673469383809378,3.75,UD
bias,base3,-0.10246510063630086,4.25,UD
smad,base3,0.04275703403330233,4.25,UD
outl,base3,0.3021806844168826,4.25,UD
bias,base3,-0.18878898275545203,4.75,UD
smad,base3,0.04837458644706692,4.75,UD
outl,base3,0.39263803440099365,4.75,UD
bias,base3,-0.47814957606360076,5.25,UD
smad,base3,0.016868890746379348,5.25,UD
outl,base3,0.8518518203017844,5.25,UD
bias,base3,-0.6889566358996522,5.75,UD
smad,base3,0.03705794352550847,5.75,UD
outl,base3,0.9999997500000625,5.75,UD
bias,base1,0.13011507115540266,0.25,D
smad,base1,0.036027773366337265,0.25,D
outl,base1,0.27517667832368525,0.25,D
bias,base1,0.0200744831255113,0.75,D
smad,base1,0.025191811036274128,0.75,D
outl,base1,0.14351103927207565,0.75,D
bias,base1,-0.002468212235533052,1.25,D
smad,base1,0.02819466552397492,1.25,D
outl,base1,0.17139677230306244,1.25,D
bias,base1,-0.034416650524391156,1.75,D
smad,base1,0.04666704201274831,1.75,D
outl,base1,0.35061728351775645,1.75,D
bias,base1,-0.09981770731851025,2.25,D
smad,base1,0.08524529150744796,2.25,D
outl,base1,0.5479452042284356,2.25,D
bias,base1,-0.12075952507539672,2.75,D
smad,base1,0.06665231291802429,2.75,D
outl,base1,0.4572368406011946,2.75,D
bias,base1,-0.06438411569803902,3.25,D
smad,base1,0.04295876892889773,3.25,D
outl,base1,0.28676470377378893,3.25,D
bias,base1,-0.115672230069691,3.75,D
smad,base1,0.06496219125740829,3.75,D
outl,base1,0.4482758466111777,3.75,D
bias,base1,-0.46939590541156867,4.25,D
smad,base1,0.0822374883230918,4.25,D
outl,base1,0.6923076390532585,4.25,D
bias,base1,-0.6921409911994306,4.75,D
smad,base1,0.012652601786878754,4.75,D
outl,base1,0.9999998333333611,4.75,D
bias,base1,-0.7169732679831283,5.25,D
smad,base1,0.0,5.25,D
outl,base1,0.9999990000010001,5.25,D
bias,base1,,5.75,D
smad,base1,,5.75,D
outl,base1,0.0,5.75,D
bias,base2,0.12364221924307893,0.25,D
smad,base2,0.03098115708870253,0.25,D
outl,base2,0.26148409882443285,0.25,D
bias,base2,0.019579136260588676,0.75,D
smad,base2,0.020554782956647265,0.75,D
outl,base2,0.11497038230614691,0.75,D
bias,base2,0.0009903908510415628,1.25,D
smad,base2,0.025698697059409737,1.25,D
outl,base2,0.1541457984673646,1.25,D
bias,base2,-0.026294801510345828,1.75,D
smad,base2,0.04185312965357198,1.75,D
outl,base2,0.31481481442615455,1.75,D
bias,base2,-0.07501161675860687,2.25,D
smad,base2,0.06910147987526723,2.25,D
outl,base2,0.43835616338274846,2.25,D
bias,base2,-0.10262175604588876,2.75,D
smad,base2,0.05745347146481682,2.75,D
outl,base2,0.4078947355003463,2.75,D
bias,base2,-0.02545859422274143,3.25,D
smad,base2,0.032027533354698816,3.25,D
outl,base2,0.19117646918252595,3.25,D
bias,base2,-0.041663856484779695,3.75,D
smad,base2,0.039940073067203555,3.75,D
outl,base2,0.3448275743162905,3.75,D
bias,base2,-0.3030794546563445,4.25,D
smad,base2,0.15574963510363632,4.25,D
outl,base2,0.6923076390532585,4.25,D
bias,base2,-0.36091771666443245,4.75,D
smad,base2,0.44316380950819506,4.75,D
outl,base2,0.8333331944444675,4.75,D
bias,base2,-0.7169732679831283,5.25,D
smad,base2,0.0,5.25,D
outl,base2,0.9999990000010001,5.25,D
bias,base2,,5.75,D
smad,base2,,5.75,D
outl,base2,0.0,5.75,D
bias,base3,0.11614487149214495,0.25,D
smad,base3,0.02714643982020361,0.25,D
outl,base3,0.22659010590698317,0.25,D
bias,base3,0.017805608972734414,0.75,D
smad,base3,0.01962359724835119,0.75,D
outl,base3,0.12520193857695155,0.75,D
bias,base3,0.0011501880745577262,1.25,D
smad,base3,0.02290594621261028,1.25,D
outl,base3,0.13856427371254074,1.25,D
bias,base3,-0.026937718485921056,1.75,D
smad,base3,0.038406684394204374,1.75,D
outl,base3,0.29012345643194637,1.75,D
bias,base3,-0.08388286455853912,2.25,D
smad,base3,0.06163918140963136,2.25,D
outl,base3,0.42009132324180065,2.25,D
bias,base3,-0.14359034658041653,2.75,D
smad,base3,0.0588771671052019,2.75,D
outl,base3,0.41447368284712605,2.75,D
bias,base3,-0.039667338413468825,3.25,D
smad,base3,0.03831198000202387,3.25,D
outl,base3,0.2647058804065744,3.25,D
bias,base3,-0.03027133600075418,3.75,D
smad,base3,0.04508730473668157,3.75,D
outl,base3,0.3103448168846615,3.75,D
bias,base3,-0.16852241493809217,4.25,D
smad,base3,0.05395068929409612,4.25,D
outl,base3,0.3846153550295881,4.25,D
bias,base3,-0.34974898362616097,4.75,D
smad,base3,0.47684571923889973,4.75,D
outl,base3,0.49999991666668053,4.75,D
bias,base3,-0.702953367945141,5.25,D
smad,base3,0.0,5.25,D
outl,base3,0.9999990000010001,5.25,D
bias,base3,,5.75,D
smad,base3,,5.75,D
outl,base3,0.0,5.75,D
