metric,finetune_base,value,plage,inference_base
bias,base1,0.11376727967163387,0.25,UD
smad,base1,0.03232461497318563,0.25,UD
outl,base1,0.23814184346750528,0.25,UD
bias,base1,0.0073155062940905655,0.75,UD
smad,base1,0.01862282680323924,0.75,UD
outl,base1,0.07824310910746272,0.75,UD
bias,base1,0.0017851607590961033,1.25,UD
smad,base1,0.024120477132745063,1.25,UD
outl,base1,0.11586413773346674,1.25,UD
bias,base1,-0.010526320213326381,1.75,UD
smad,base1,0.03336875747200928,1.75,UD
outl,base1,0.22062583707411262,1.75,UD
bias,base1,-0.022107304732759972,2.25,UD
smad,base1,0.0397187745593557,2.25,UD
outl,base1,0.24256588759397654,2.25,UD
bias,base1,-0.0805122005363775,2.75,UD
smad,base1,0.0351594434543208,2.75,UD
outl,base1,0.2573873727987425,2.75,UD
bias,base1,-0.07038491262058649,3.25,UD
smad,base1,0.03218427516369872,3.25,UD
outl,base1,0.21631944436933354,3.25,UD
bias,base1,-0.11507919791354312,3.75,UD
smad,base1,0.05241172560147409,3.75,UD
outl,base1,0.5381310413124264,3.75,UD
bias,base1,-0.14047564130559986,4.25,UD
smad,base1,0.05119133513262507,4.25,UD
outl,base1,0.38317756889975835,4.25,UD
bias,base1,-0.2980065656075964,4.75,UD
smad,base1,0.11855251503223725,4.75,UD
outl,base1,0.5644171744514284,4.75,UD
bias,base1,-0.6505230536246711,5.25,UD
smad,base1,0.011971495973995877,5.25,UD
outl,base1,0.9629629272976693,5.25,UD
bias,base1,-0.6776092843558512,5.75,UD
smad,base1,0.04382707631006813,5.75,UD
outl,base1,0.9999997500000625,5.75,UD
bias,base2,0.10449251707759193,0.25,UD
smad,base2,0.022399836369355226,0.25,UD
outl,base2,0.17330210772227964,0.25,UD
bias,base2,0.007111998970816362,0.75,UD
smad,base2,0.014967437820857061,0.75,UD
outl,base2,0.05499350996306419,0.75,UD
bias,base2,0.00377862983634004,1.25,UD
smad,base2,0.01896948353531915,1.25,UD
outl,base2,0.08483579664141375,1.25,UD
bias,base2,-0.010190820708508642,1.75,UD
smad,base2,0.025823575517757318,1.75,UD
outl,base2,0.16912212345250688,1.75,UD
bias,base2,-0.021018403430453594,2.25,UD
smad,base2,0.03471854575949231,2.25,UD
outl,base2,0.20785678764715496,2.25,UD
bias,base2,-0.06924099677438793,2.75,UD
smad,base2,0.029283299147840926,2.75,UD
outl,base2,0.200710479541303,2.75,UD
bias,base2,-0.052378384364932556,3.25,UD
smad,base2,0.02588802683668904,3.25,UD
outl,base2,0.1819444443812693,3.25,UD
bias,base2,-0.07078948718269214,3.75,UD
smad,base2,0.047867046675970124,3.75,UD
outl,base2,0.377013963075173,3.75,UD
bias,base2,-0.09275415418353579,4.25,UD
smad,base2,0.0370550749318888,4.25,UD
outl,base2,0.2772585661144593,4.25,UD
bias,base2,-0.23152697114273174,4.75,UD
smad,base2,0.05337329497007634,4.75,UD
outl,base2,0.4417177887011179,4.75,UD
bias,base2,-0.6391504087015976,5.25,UD
smad,base2,0.004857214986260518,5.25,UD
outl,base2,0.9629629272976693,5.25,UD
bias,base2,-0.683492014999866,5.75,UD
smad,base2,0.041569091221390804,5.75,UD
outl,base2,0.9999997500000625,5.75,UD
bias,base3,0.0782942289859166,0.25,UD
smad,base3,0.01806976376418385,0.25,UD
outl,base3,0.13918696913072157,0.25,UD
bias,base3,0.0039105327755196125,0.75,UD
smad,base3,0.013311384797230603,0.75,UD
outl,base3,0.04873253416719988,0.75,UD
bias,base3,0.003363359537425266,1.25,UD
smad,base3,0.01710329020944584,1.25,UD
outl,base3,0.07268068618339904,1.25,UD
bias,base3,-0.008066463148939164,1.75,UD
smad,base3,0.02280260782125202,1.75,UD
outl,base3,0.1442225739593192,1.75,UD
bias,base3,-0.019272886941227495,2.25,UD
smad,base3,0.03325780830111345,2.25,UD
outl,base3,0.18627548481489054,2.25,UD
bias,base3,-0.06151772477328504,2.75,UD
smad,base3,0.02762638920156908,2.75,UD
outl,base3,0.17648958498684164,2.75,UD
bias,base3,-0.05193878007278771,3.25,UD
smad,base3,0.024944014802450606,3.25,UD
outl,base3,0.1531249999468316,3.25,UD
bias,base3,-0.0658662047262592,3.75,UD
