metric,finetune_base,value,plage,inference_base
bias,base1,0.46992533270749937,0.25,UD
smad,base1,0.31639491410004156,0.25,UD
outl,base1,0.9271557901035633,0.25,UD
bias,base1,0.11974339305516134,0.75,UD
smad,base1,0.15848476049418297,0.75,UD
outl,base1,0.7651943192951594,0.75,UD
bias,base1,-0.0911022216379034,1.25,UD
smad,base1,0.08794636179081163,1.25,UD
outl,base1,0.7624285223022083,1.25,UD
bias,base1,-0.23672829759517025,1.75,UD
smad,base1,0.06636826534792982,1.75,UD
outl,base1,0.9973821988921598,1.75,UD
bias,base1,-0.3355729313145864,2.25,UD
smad,base1,0.04867927433842499,2.25,UD
outl,base1,0.999999999900547,2.25,UD
bias,base1,-0.3978399999130621,2.75,UD
smad,base1,0.04093081717629615,2.75,UD
outl,base1,0.9999999998385273,2.75,UD
bias,base1,-0.43581304005252913,3.25,UD
smad,base1,0.03998892231456176,3.25,UD
outl,base1,0.9999999996527779,3.25,UD
bias,base1,-0.4875473061988621,3.75,UD
smad,base1,0.037382701951165144,3.75,UD
outl,base1,0.9999999989258862,3.75,UD
bias,base1,-0.5387943925032845,4.25,UD
smad,base1,0.03668192655434169,4.25,UD
outl,base1,0.9999999968847352,4.25,UD
bias,base1,-0.5767330511110491,4.75,UD
smad,base1,0.03594503422956406,4.75,UD
outl,base1,0.9999999938650307,4.75,UD
bias,base1,-0.6170946361855599,5.25,UD
smad,base1,0.030268874232387468,5.25,UD
outl,base1,0.9999999629629643,5.25,UD
bias,base1,-0.6605749386523536,5.75,UD
smad,base1,0.03468610238479489,5.75,UD
outl,base1,0.9999997500000625,5.75,UD
bias,base2,0.49861455884143263,0.25,UD
smad,base2,0.34725164048644547,0.25,UD
outl,base2,0.9183124191366943,0.25,UD
bias,base2,0.1309213374358247,0.75,UD
smad,base2,0.1492526169537856,0.75,UD
outl,base2,0.7749293731240946,0.75,UD
bias,base2,-0.08662808652369113,1.25,UD
smad,base2,0.08054558421325916,1.25,UD
outl,base2,0.7394931724919697,1.25,UD
bias,base2,-0.2260495437048027,1.75,UD
smad,base2,0.061453596926885234,1.75,UD
outl,base2,0.9863022037631619,1.75,UD
bias,base2,-0.3171968270378065,2.25,UD
smad,base2,0.048511886830908235,2.25,UD
outl,base2,0.9903530580815163,2.25,UD
bias,base2,-0.3583050969130034,2.75,UD
smad,base2,0.06457909253796222,2.75,UD
outl,base2,0.9999999998385273,2.75,UD
bias,base2,-0.3595257760421821,3.25,UD
smad,base2,0.13176541520873425,3.25,UD
outl,base2,0.9999999996527779,3.25,UD
bias,base2,-0.4188695710331688,3.75,UD
smad,base2,0.12473058061384207,3.75,UD
outl,base2,0.9999999989258862,3.75,UD
bias,base2,-0.4817842936194049,4.25,UD
smad,base2,0.11111760467100035,4.25,UD
outl,base2,0.9999999968847352,4.25,UD
bias,base2,-0.5294574427497669,4.75,UD
smad,base2,0.11177102935049299,4.75,UD
outl,base2,0.9999999938650307,4.75,UD
bias,base2,-0.5884063844871416,5.25,UD
smad,base2,0.07933147282778673,5.25,UD
outl,base2,0.9999999629629643,5.25,UD
bias,base2,-0.6675874959981383,5.75,UD
smad,base2,0.024113166771119875,5.75,UD
outl,base2,0.9999997500000625,5.75,UD
bias,base3,0.38784539056793477,0.25,UD
smad,base3,0.32005384951065635,0.25,UD
outl,base3,0.8610227550469775,0.25,UD
bias,base3,0.11671030606415875,0.75,UD
smad,base3,0.15606760259182068,0.75,UD
outl,base3,0.7224173474703669,0.75,UD
bias,base3,-0.03645936383387722,1.25,UD
smad,base3,0.10364457146534997,1.25,UD
outl,base3,0.6445333249806414,1.25,UD
bias,base3,-0.16965670589729562,1.75,UD
smad,base3,0.08674946447146228,1.75,UD
outl,base3,0.9358943138356328,1.75,UD
bias,base3,-0.2945099400994433,2.25,UD
smad,base3,0.07634899119981806,2.25,UD
outl,base3,0.9894579810055237,2.25,UD
bias,base3,-0.38511704282123527,2.75,UD
smad,base3,0.09420107822317669,2.75,UD
outl,base3,0.9730340705678937,2.75,UD
bias,base3,-0.3403571346756671,3.25,UD
smad,base3,0.26469326821382383,3.25,UD
outl,base3,0.9930555552107446,3.25,UD
bias,base3,-0.35903983289479724,3.75,UD
smad,base3,0.18289907344050785,3.75,UD
outl,base3,0.9999999989258862,3.75,UD
bias,base3,-0.43856203208263334,4.25,UD
smad,base3,0.20467430431285233,4.25,UD
outl,base3,0.9999999968847352,4.25,UD
bias,base3,-0.4890056772867198,4.75,UD
smad,base3,0.18365488590603823,4.75,UD
outl,base3,0.9999999938650307,4.75,UD
bias,base3,-0.5776485612969089,5.25,UD
smad,base3,0.07255099975587535,5.25,UD
outl,base3,0.9999999629629643,5.25,UD
bias,base3,-0.6049936350244914,5.75,UD
smad,base3,0.09435952537492938,5.75,UD
outl,base3,0.9999997500000625,5.75,UD
bias,base1,0.3164537984013255,0.25,D
smad,base1,0.3284678339231974,0.25,D
outl,base1,0.8166961127134735,0.25,D
bias,base1,0.0719622164029114,0.75,D
smad,base1,0.165224852011903,0.75,D
outl,base1,0.7627894451365672,0.75,D
bias,base1,-0.10742914134618467,1.25,D
smad,base1,0.08429955009483346,1.25,D
outl,base1,0.7896494152533948,1.25,D
bias,base1,-0.25443974639834793,1.75,D
smad,base1,0.06684795550147862,1.75,D
outl,base1,0.9999999987654321,1.75,D
bias,base1,-0.38194664979678156,2.25,D
smad,base1,0.05171145982897674,2.25,D
outl,base1,0.999999997716895,2.25,D
bias,base1,-0.4222759781605629,2.75,D
smad,base1,0.03975016780642321,2.75,D
outl,base1,0.9999999967105263,2.75,D
bias,base1,-0.4726371314918662,3.25,D
smad,base1,0.031073074500627587,3.25,D
outl,base1,0.9999999926470589,3.25,D
bias,base1,-0.4987818535050002,3.75,D
smad,base1,0.03346921294518718,3.75,D
outl,base1,0.9999999655172426,3.75,D
bias,base1,-0.5875352259568105,4.25,D
smad,base1,0.039118860203983134,4.25,D
outl,base1,0.9999999230769291,4.25,D
bias,base1,-0.5852089832025209,4.75,D
smad,base1,0.026988439241393894,4.75,D
outl,base1,0.9999998333333611,4.75,D
bias,base1,-0.7537755055828455,5.25,D
smad,base1,0.0,5.25,D
outl,base1,0.9999990000010001,5.25,D
bias,base1,,5.75,D
smad,base1,,5.75,D
outl,base1,0.0,5.75,D
bias,base2,0.32778365381815505,0.25,D
smad,base2,0.32380221050951147,0.25,D
outl,base2,0.8074204943430122,0.25,D
bias,base2,0.08205427598995856,0.75,D
smad,base2,0.1534816673183374,0.75,D
outl,base2,0.7339795366898278,0.75,D
bias,base2,-0.10238945259402404,1.25,D
smad,base2,0.07862523780892439,1.25,D
outl,base2,0.765720645094201,1.25,D
bias,base2,-0.24589777845667105,1.75,D
smad,base2,0.06297231660864451,1.75,D
outl,base2,0.99382715926688,1.75,D
bias,base2,-0.37279313512280626,2.25,D
smad,base2,0.050305483748127114,2.25,D
outl,base2,0.999999997716895,2.25,D
bias,base2,-0.4030018683657086,2.75,D
smad,base2,0.05347278362134322,2.75,D
outl,base2,0.9999999967105263,2.75,D
bias,base2,-0.4401960348994758,3.25,D
smad,base2,0.06339500677357042,3.25,D
outl,base2,0.9999999926470589,3.25,D
bias,base2,-0.45921262942909036,3.75,D
smad,base2,0.09925872245558251,3.75,D
outl,base2,0.9999999655172426,3.75,D
bias,base2,-0.5702556291471481,4.25,D
smad,base2,0.06134551066776138,4.25,D
outl,base2,0.9999999230769291,4.25,D
bias,base2,-0.5703170035819124,4.75,D
smad,base2,0.04937186347338943,4.75,D
outl,base2,0.9999998333333611,4.75,D
bias,base2,-0.7485180430686003,5.25,D
smad,base2,0.0,5.25,D
outl,base2,0.9999990000010001,5.25,D
bias,base2,,5.75,D
smad,base2,,5.75,D
