metric,finetune_base,value,plage,inference_base
bias,base1,0.1726642445730859,0.25,UD
smad,base1,0.05317436720104112,0.25,UD
outl,base1,0.38711594252203446,0.25,UD
bias,base1,0.013992119163593065,0.75,UD
smad,base1,0.02534339149322798,0.75,UD
outl,base1,0.13606169351500225,0.75,UD
bias,base1,0.002935221440524495,1.25,UD
smad,base1,0.035331316604876165,1.25,UD
outl,base1,0.20960534949193496,1.25,UD
bias,base1,-0.03257487016385496,1.75,UD
smad,base1,0.053501905531142036,1.75,UD
outl,base1,0.3960793863146183,1.75,UD
bias,base1,-0.04202794102168695,2.25,UD
smad,base1,0.0706695384832325,2.25,UD
outl,base1,0.4894082545510285,2.25,UD
bias,base1,-0.09426099361067412,2.75,UD
smad,base1,0.07399897007867906,2.75,UD
outl,base1,0.5557887937097062,2.75,UD
bias,base1,-0.16293547137801664,3.25,UD
smad,base1,0.09086864118710224,3.25,UD
outl,base1,0.6399305553333575,3.25,UD
bias,base1,-0.30335967944003395,3.75,UD
smad,base1,0.22571063158589919,3.75,UD
outl,base1,0.8421052622533778,3.75,UD
bias,base1,-0.33427629808410175,4.25,UD
smad,base1,0.2725039161287717,4.25,UD
outl,base1,0.6230529575605827,4.25,UD
bias,base1,-0.336977620222723,4.75,UD
smad,base1,0.4538096426001857,4.75,UD
outl,base1,0.687116560201739,4.75,UD
bias,base1,-0.5519574559665344,5.25,UD
smad,base1,0.021952956588110455,5.25,UD
outl,base1,0.8888888559670793,5.25,UD
bias,base1,-0.6681784139945741,5.75,UD
smad,base1,0.030641753936297773,5.75,UD
outl,base1,0.9999997500000625,5.75,UD
bias,base2,0.13698089317618742,0.25,UD
smad,base2,0.031016430386017427,0.25,UD
outl,base2,0.24551714494580318,0.25,UD
bias,base2,0.006945155817010199,0.75,UD
smad,base2,0.017573439759879864,0.75,UD
outl,base2,0.07396732075906759,0.75,UD
bias,base2,0.005137864911780649,1.25,UD
smad,base2,0.0228008043686122,1.25,UD
outl,base2,0.10883354685158161,1.25,UD
bias,base2,-0.013664183815552847,1.75,UD
smad,base2,0.033482468606515214,1.75,UD
outl,base2,0.24674296844960775,1.75,UD
bias,base2,-0.023171041010271877,2.25,UD
smad,base2,0.04474011418955573,2.25,UD
outl,base2,0.2955743410944232,2.25,UD
bias,base2,-0.07377693623477279,2.75,UD
smad,base2,0.043767727147263354,2.75,UD
outl,base2,0.3185854997063482,2.75,UD
bias,base2,-0.07165866847312458,3.25,UD
smad,base2,0.0451194230632309,3.25,UD
outl,base2,0.32951388877447435,3.25,UD
bias,base2,-0.11009671779082324,3.75,UD
smad,base2,0.07599474913255119,3.75,UD
outl,base2,0.5886143924934325,3.75,UD
bias,base2,-0.19243874570800584,4.25,UD
smad,base2,0.07941449668153629,4.25,UD
outl,base2,0.44859812944361954,4.25,UD
bias,base2,-0.34002406829889775,4.75,UD
smad,base2,0.2729998519010787,4.75,UD
outl,base2,0.6441717751891303,4.75,UD
bias,base2,-0.6085523291823002,5.25,UD
smad,base2,0.016505698303253487,5.25,UD
outl,base2,0.9999999629629643,5.25,UD
bias,base2,-0.6738148979338268,5.75,UD
