metric,finetune_base,value,plage,inference_base
bias,base1,0.18594887508012273,0.25,UD
smad,base1,0.035584822612573744,0.25,UD
outl,base1,0.2665594742819896,0.25,UD
bias,base1,0.015453992968934733,0.75,UD
smad,base1,0.023582565828163628,0.75,UD
outl,base1,0.12243261815449277,0.75,UD
bias,base1,0.023483226441795582,1.25,UD
smad,base1,0.029602787078058027,1.25,UD
outl,base1,0.19782520388095412,1.25,UD
bias,base1,0.002482200524847183,1.75,UD
smad,base1,0.0361376507402306,1.75,UD
outl,base1,0.24832582489660746,1.75,UD
bias,base1,-0.012668721436037977,2.25,UD
smad,base1,0.04534097589704518,2.25,UD
outl,base1,0.295375435077536,2.25,UD
bias,base1,-0.06447973394723122,2.75,UD
smad,base1,0.045460798765589984,2.75,UD
outl,base1,0.36282900042583094,2.75,UD
bias,base1,-0.05505907962955749,3.25,UD
smad,base1,0.042087979798433386,3.25,UD
outl,base1,0.29756944434112176,3.25,UD
bias,base1,-0.13132718785673894,3.75,UD
smad,base1,0.055400386999567536,3.75,UD
outl,base1,0.7669172924093263,3.75,UD
bias,base1,-0.21717865194770583,4.25,UD
smad,base1,0.10659107360987502,4.25,UD
outl,base1,0.5607476618045244,4.25,UD
bias,base1,-0.3028486321868785,4.75,UD
smad,base1,0.14571328142138532,4.75,UD
outl,base1,0.6809815909142234,4.75,UD
bias,base1,-0.6179189840098287,5.25,UD
smad,base1,0.043957006881238256,5.25,UD
outl,base1,0.9629629272976693,5.25,UD
bias,base1,-0.645065411187413,5.75,UD
smad,base1,0.011323221236589314,5.75,UD
outl,base1,0.9999997500000625,5.75,UD
bias,base2,0.13116927330253034,0.25,UD
smad,base2,0.02664405936750023,0.25,UD
outl,base2,0.20909504001506188,0.25,UD
bias,base2,0.005286430735271221,0.75,UD
smad,base2,0.02163673336729967,0.75,UD
outl,base2,0.11191494235107438,0.75,UD
bias,base2,0.0246812216591143,1.25,UD
smad,base2,0.02404095531282087,1.25,UD
outl,base2,0.16435959128318095,1.25,UD
bias,base2,0.0063236731223272015,1.75,UD
smad,base2,0.03123379273401892,1.75,UD
outl,base2,0.2227566053681507,1.75,UD
bias,base2,-0.014839199480580071,2.25,UD
smad,base2,0.03713243755888431,2.25,UD
outl,base2,0.2241670810319078,2.25,UD
bias,base2,-0.06930944454817517,2.75,UD
smad,base2,0.036621836803107856,2.75,UD
outl,base2,0.27046665585815166,2.75,UD
bias,base2,-0.06330817232659544,3.25,UD
smad,base2,0.03259065378025008,3.25,UD
outl,base2,0.21111111103780866,3.25,UD
bias,base2,-0.10437379651698679,3.75,UD
smad,base2,0.05265489858260796,3.75,UD
outl,base2,0.5821697093639423,3.75,UD
bias,base2,-0.18451346950319508,4.25,UD
smad,base2,0.07211560334906675,4.25,UD
outl,base2,0.4922118364728603,4.25,UD
bias,base2,-0.25415331509947203,4.75,UD
smad,base2,0.1091297790438318,4.75,UD
outl,base2,0.5766871130264595,4.75,UD
bias,base2,-0.5317945240897307,5.25,UD
smad,base2,0.029864773260086065,5.25,UD
outl,base2,0.8888888559670793,5.25,UD
bias,base2,-0.6306002324982716,5.75,UD
smad,base2,0.05116770148342456,5.75,UD
outl,base2,0.9999997500000625,5.75,UD
bias,base3,0.12394257276549896,0.25,UD
smad,base3,0.026651281384821666,0.25,UD
outl,base3,0.20605403893159305,0.25,UD
bias,base3,0.011089167146965855,0.75,UD
smad,base3,0.02055946441053623,0.75,UD
outl,base3,0.1273955867731657,0.75,UD
bias,base3,0.03265623909162316,1.25,UD
smad,base3,0.02721530142132267,1.25,UD
outl,base3,0.21010530262131347,1.25,UD
bias,base3,0.004004977019258974,1.75,UD
smad,base3,0.030059578510077966,1.75,UD
outl,base3,0.1995616705101935,1.75,UD
bias,base3,-0.019508419858892723,2.25,UD
smad,base3,0.037422061054069686,2.25,UD
outl,base3,0.22098458476171212,2.25,UD
bias,base3,-0.07067454702425419,2.75,UD
smad,base3,0.031853107598391245,2.75,UD
outl,base3,0.2438236718482442,2.75,UD
bias,base3,-0.09474273418021578,3.25,UD
smad,base3,0.03302132955284746,3.25,UD
outl,base3,0.27847222212553047,3.25,UD
bias,base3,-0.13288425949243773,3.75,UD
smad,base3,0.06080900109032921,3.75,UD
outl,base3,0.5703544569598771,3.75,UD
bias,base3,-0.19225537449454497,4.25,UD
smad,base3,0.08069189945116108,4.25,UD
outl,base3,0.504672895624072,4.25,UD
bias,base3,-0.2715666905696937,4.75,UD
smad,base3,0.09238804543710974,4.75,UD
outl,base3,0.4969325122887576,4.75,UD
bias,base3,-0.5869731456807612,5.25,UD
