metric,finetune_base,value,plage,inference_base
bias,base1,0.49403870827122826,0.25,UD
smad,base1,0.19311441333594395,0.25,UD
outl,base1,0.9587542381432852,0.25,UD
bias,base1,0.13675002158583158,0.75,UD
smad,base1,0.10987556504364622,0.75,UD
outl,base1,0.8175154615404765,0.75,UD
bias,base1,-0.0819789965406746,1.25,UD
smad,base1,0.07095657311770204,1.25,UD
outl,base1,0.678905102625413,1.25,UD
bias,base1,-0.24446906688091663,1.75,UD
smad,base1,0.05831488623830059,1.75,UD
outl,base1,0.9999999999391209,1.75,UD
bias,base1,-0.35926708537489727,2.25,UD
smad,base1,0.03918334884192806,2.25,UD
outl,base1,0.999999999900547,2.25,UD
bias,base1,-0.4405542796156832,2.75,UD
smad,base1,0.028509587352386803,2.75,UD
outl,base1,0.9999999998385273,2.75,UD
bias,base1,-0.5034622650012607,3.25,UD
smad,base1,0.02269139063798143,3.25,UD
outl,base1,0.9999999996527779,3.25,UD
bias,base1,-0.5567577751737508,3.75,UD
smad,base1,0.02031257265529541,3.75,UD
outl,base1,0.9999999989258862,3.75,UD
bias,base1,-0.6017331556416855,4.25,UD
smad,base1,0.016808041277018973,4.25,UD
outl,base1,0.9999999968847352,4.25,UD
bias,base1,-0.6338204069731187,4.75,UD
smad,base1,0.013419643206668184,4.75,UD
outl,base1,0.9999999938650307,4.75,UD
bias,base1,-0.6643206117147898,5.25,UD
smad,base1,0.011674561065399615,5.25,UD
outl,base1,0.9999999629629643,5.25,UD
bias,base1,-0.6911957182454018,5.75,UD
smad,base1,0.006245482892463551,5.75,UD
outl,base1,0.9999997500000625,5.75,UD
bias,base2,0.4693517513434243,0.25,UD
smad,base2,0.2401145835953801,0.25,UD
outl,base2,0.9441084972930158,0.25,UD
bias,base2,0.13186723306696277,0.75,UD
smad,base2,0.11919227970661381,0.75,UD
outl,base2,0.8131824081695582,0.75,UD
bias,base2,-0.06961681449153524,1.25,UD
smad,base2,0.07319789446039068,1.25,UD
outl,base2,0.6467831140628446,1.25,UD
bias,base2,-0.22958441915590844,1.75,UD
smad,base2,0.058914196491236435,1.75,UD
outl,base2,0.9999391208450055,1.75,UD
bias,base2,-0.3491538124453306,2.25,UD
smad,base2,0.04182047302585911,2.25,UD
outl,base2,0.999999999900547,2.25,UD
bias,base2,-0.4348210293773672,2.75,UD
smad,base2,0.03167290364530114,2.75,UD
outl,base2,0.9999999998385273,2.75,UD
bias,base2,-0.49905862902733733,3.25,UD
smad,base2,0.025609692093829052,3.25,UD
outl,base2,0.9999999996527779,3.25,UD
bias,base2,-0.5523779205929553,3.75,UD
smad,base2,0.022350927537147243,3.75,UD
outl,base2,0.9999999989258862,3.75,UD
bias,base2,-0.5968354328459498,4.25,UD
smad,base2,0.019260527421704376,4.25,UD
outl,base2,0.9999999968847352,4.25,UD
bias,base2,-0.6295009488782367,4.75,UD
smad,base2,0.012705870053833418,4.75,UD
outl,base2,0.9999999938650307,4.75,UD
bias,base2,-0.659162666341676,5.25,UD
smad,base2,0.012561488973779783,5.25,UD
outl,base2,0.9999999629629643,5.25,UD
bias,base2,-0.6861229830272945,5.75,UD
smad,base2,0.0140842544596468,5.75,UD
outl,base2,0.9999997500000625,5.75,UD
bias,base3,0.44052548427047333,0.25,UD
smad,base3,0.24846860306294227,0.25,UD
outl,base3,0.9345660456173034,0.25,UD
bias,base3,0.12162885252215148,0.75,UD
smad,base3,0.12178101318899423,0.75,UD
outl,base3,0.760078643949758,0.75,UD
bias,base3,-0.0697603516632665,1.25,UD
smad,base3,0.08093432282233443,1.25,UD
outl,base3,0.6707808642730125,1.25,UD
bias,base3,-0.2269887798515075,1.75,UD
smad,base3,0.07048816781578779,1.75,UD
outl,base3,0.9976865943627367,1.75,UD
bias,base3,-0.35601965956105236,2.25,UD
smad,base3,0.05282455473021189,2.25,UD
outl,base3,0.999999999900547,2.25,UD
bias,base3,-0.4497745601793759,2.75,UD
smad,base3,0.0371477640291509,2.75,UD
outl,base3,0.9999999998385273,2.75,UD
bias,base3,-0.514610293827899,3.25,UD
smad,base3,0.029134702252216624,3.25,UD
outl,base3,0.9999999996527779,3.25,UD
bias,base3,-0.5663300833655519,3.75,UD
smad,base3,0.02645079859056939,3.75,UD
outl,base3,0.9999999989258862,3.75,UD
bias,base3,-0.6088138965073125,4.25,UD
smad,base3,0.02393714445888393,4.25,UD
outl,base3,0.9999999968847352,4.25,UD
bias,base3,-0.6431805012613047,4.75,UD
smad,base3,0.02220569774701138,4.75,UD
outl,base3,0.9999999938650307,4.75,UD
bias,base3,-0.6719709959197635,5.25,UD
smad,base3,0.01782024949683925,5.25,UD
outl,base3,0.9999999629629643,5.25,UD
bias,base3,-0.7050565553548869,5.75,UD
smad,base3,0.015717551580347582,5.75,UD
outl,base3,0.9999997500000625,5.75,UD
bias,base1,0.38142988049587484,0.25,D
smad,base1,0.2747087101982817,0.25,D
outl,base1,0.8842756179839772,0.25,D
bias,base1,0.10921132417136446,0.75,D
smad,base1,0.12658213399739154,0.75,D
outl,base1,0.7800215399084487,0.75,D
bias,base1,-0.09240929879296379,1.25,D
smad,base1,0.0682486155942756,1.25,D
outl,base1,0.7134112405601495,1.25,D
bias,base1,-0.25520107970536465,1.75,D
smad,base1,0.06068749166167253,1.75,D
outl,base1,0.9999999987654321,1.75,D
bias,base1,-0.3899320890334559,2.25,D
smad,base1,0.044792993815102204,2.25,D
outl,base1,0.999999997716895,2.25,D
bias,base1,-0.45414083409066724,2.75,D
smad,base1,0.029264772878292766,2.75,D
outl,base1,0.9999999967105263,2.75,D
bias,base1,-0.5190792722376585,3.25,D
smad,base1,0.0263645416859932,3.25,D
outl,base1,0.9999999926470589,3.25,D
bias,base1,-0.5604356024067132,3.75,D
smad,base1,0.018972238323117136,3.75,D
outl,base1,0.9999999655172426,3.75,D
bias,base1,-0.6229742116591319,4.25,D
smad,base1,0.01946924320439066,4.25,D
outl,base1,0.9999999230769291,4.25,D
bias,base1,-0.6413976162550835,4.75,D
smad,base1,0.008526206631041996,4.75,D
outl,base1,0.9999998333333611,4.75,D
bias,base1,-0.7713003806303298,5.25,D
smad,base1,0.0,5.25,D
outl,base1,0.9999990000010001,5.25,D
bias,base1,,5.75,D
smad,base1,,5.75,D
outl,base1,0.0,5.75,D
bias,base2,0.3671087259836611,0.25,D
smad,base2,0.3248123149446924,0.25,D
outl,base2,0.8688162540332084,0.25,D
bias,base2,0.10886396874781908,0.75,D
smad,base2,0.1496223026741139,0.75,D
outl,base2,0.7689822291952121,0.75,D
bias,base2,-0.07075333475368913,1.25,D
smad,base2,0.07409862915707806,1.25,D
outl,base2,0.66054535299914,1.25,D
bias,base2,-0.22767121392020015,1.75,D
smad,base2,0.06442236556927776,1.75,D
outl,base2,0.9950617271665905,1.75,D
bias,base2,-0.35917804825359634,2.25,D
smad,base2,0.04794189322499804,2.25,D
outl,base2,0.999999997716895,2.25,D
bias,base2,-0.4398964583383825,2.75,D
smad,base2,0.029854800577602415,2.75,D
outl,base2,0.9999999967105263,2.75,D
bias,base2,-0.5101596395166809,3.25,D
smad,base2,0.028682693153993615,3.25,D
outl,base2,0.9999999926470589,3.25,D
bias,base2,-0.555493489555484,3.75,D
smad,base2,0.020529032460918414,3.75,D
outl,base2,0.9999999655172426,3.75,D
bias,base2,-0.6100451679723504,4.25,D
smad,base2,0.028892975133556483,4.25,D
outl,base2,0.9999999230769291,4.25,D
bias,base2,-0.6251309633701642,4.75,D
smad,base2,0.010400731710036434,4.75,D
outl,base2,0.9999998333333611,4.75,D
bias,base2,-0.7555279930875938,5.25,D
smad,base2,0.0,5.25,D
outl,base2,0.9999990000010001,5.25,D
bias,base2,,5.75,D
smad,base2,,5.75,D
outl,base2,0.0,5.75,D
bias,base3,0.3333325016385405,0.25,D
smad,base3,0.3076175836632252,0.25,D
outl,base3,0.8533568900824395,0.25,D
bias,base3,0.0989335379858631,0.75,D
smad,base3,0.1337310624419441,0.75,D
outl,base3,0.7272482496695616,0.75,D
bias,base3,-0.07779295052563946,1.25,D
smad,base3,0.08168597488336164,1.25,D
outl,base3,0.6811352249965859,1.25,D
bias,base3,-0.22875128194623526,1.75,D
smad,base3,0.07330303793056708,1.75,D
outl,base3,0.9962962950663009,1.75,D
bias,base3,-0.368365535976947,2.25,D
smad,base3,0.057619193883091814,2.25,D
outl,base3,0.999999997716895,2.25,D
bias,base3,-0.46114515985322635,2.75,D
smad,base3,0.04265633629740121,2.75,D
outl,base3,0.9999999967105263,2.75,D
bias,base3,-0.5288845628239183,3.25,D
smad,base3,0.03416192679226787,3.25,D
outl,base3,0.9999999926470589,3.25,D
bias,base3,-0.5661080144594841,3.75,D
smad,base3,0.022879536561234273,3.75,D
outl,base3,0.9999999655172426,3.75,D
bias,base3,-0.5987728699046196,4.25,D
smad,base3,0.02622980685274955,4.25,D
outl,base3,0.9999999230769291,4.25,D
bias,base3,-0.6469039878555384,4.75,D
smad,base3,0.009799702152174274,4.75,D
outl,base3,0.9999998333333611,4.75,D
bias,base3,-0.7450130680591034,5.25,D
smad,base3,0.0,5.25,D
outl,base3,0.9999990000010001,5.25,D
bias,base3,,5.75,D
smad,base3,,5.75,D
outl,base3,0.0,5.75,D
