metric,finetune_base,value,plage,inference_base
bias,base1,0.1367750552737772,0.25,UD
smad,base1,0.07310307897094702,0.25,UD
outl,base1,0.6102625047848488,0.25,UD
bias,base1,0.013327648652783021,0.75,UD
smad,base1,0.0439682346095136,0.75,UD
outl,base1,0.24843475604626183,0.75,UD
bias,base1,-0.04871279893856747,1.25,UD
smad,base1,0.048246140941206724,1.25,UD
outl,base1,0.5841327375376016,1.25,UD
bias,base1,-0.06409048182718251,1.75,UD
smad,base1,0.06126297927947769,1.75,UD
outl,base1,0.41324729085515355,1.75,UD
bias,base1,-0.14811037812582867,2.25,UD
smad,base1,0.05655933978753278,2.25,UD
outl,base1,0.6006961709994335,2.25,UD
bias,base1,-0.3005602582610409,2.75,UD
smad,base1,0.15051730006602515,2.75,UD
outl,base1,0.8320684642609286,2.75,UD
bias,base1,-0.2211256668092944,3.25,UD
smad,base1,0.09831338162654281,3.25,UD
outl,base1,0.6972222219801312,3.25,UD
bias,base1,-0.27376956653772244,3.75,UD
smad,base1,0.1490105973900918,3.75,UD
outl,base1,0.8378088068337177,3.75,UD
bias,base1,-0.34749411906404476,4.25,UD
smad,base1,0.2715174834297993,4.25,UD
outl,base1,0.6947040476800497,4.25,UD
bias,base1,-0.38111866506039727,4.75,UD
smad,base1,0.09314212412077359,4.75,UD
outl,base1,0.7055214680642855,4.75,UD
bias,base1,-0.5304854975084906,5.25,UD
smad,base1,0.014505652823650078,5.25,UD
outl,base1,0.8518518203017844,5.25,UD
bias,base1,-0.6542448937960761,5.75,UD
smad,base1,0.07939744004059689,5.75,UD
outl,base1,0.9999997500000625,5.75,UD
bias,base2,0.13962470676778072,0.25,UD
smad,base2,0.07148126087791122,0.25,UD
outl,base2,0.6599321891481725,0.25,UD
bias,base2,0.011694622217609994,0.75,UD
smad,base2,0.034800134247274545,0.75,UD
outl,base2,0.17507826219410785,0.75,UD
bias,base2,-0.03720389419619124,1.25,UD
smad,base2,0.04504813192126139,1.25,UD
outl,base2,0.49126644375554585,1.25,UD
bias,base2,-0.05779111390895399,1.75,UD
smad,base2,0.05423837912882796,1.75,UD
outl,base2,0.3843297211503513,1.75,UD
bias,base2,-0.13160109006131368,2.25,UD
smad,base2,0.057902646487111235,2.25,UD
outl,base2,0.5073097960708791,2.25,UD
bias,base2,-0.29838803921446955,2.75,UD
smad,base2,0.13242586418043495,2.75,UD
outl,base2,0.7892782172147136,2.75,UD
bias,base2,-0.1507973349594845,3.25,UD
smad,base2,0.06595932097191318,3.25,UD
outl,base2,0.466319444282528,3.25,UD
bias,base2,-0.13352495116712673,3.75,UD
smad,base2,0.0867681671371854,3.75,UD
outl,base2,0.6176154665761381,3.75,UD
bias,base2,-0.20568826720641958,4.25,UD
smad,base2,0.063673380434191,4.25,UD
outl,base2,0.42990654071680207,4.25,UD
bias,base2,-0.23770603952499658,4.75,UD
smad,base2,0.07636087503988809,4.75,UD
outl,base2,0.42331288083857127,4.75,UD
bias,base2,-0.47761996781743243,5.25,UD
smad,base2,0.025803283273851833,5.25,UD
outl,base2,0.7777777489711944,5.25,UD
bias,base2,-0.6631756329006672,5.75,UD
smad,base2,0.05464070236803044,5.75,UD
outl,base2,0.9999997500000625,5.75,UD
bias,base3,0.1261604125352302,0.25,UD
smad,base3,0.06342213607684132,0.25,UD
outl,base3,0.5996714320458711,0.25,UD
bias,base3,0.012473238585750383,0.75,UD
smad,base3,0.026277464661758714,0.75,UD
outl,base3,0.13172864014408397,0.75,UD
bias,base3,-0.017276626090723887,1.25,UD
smad,base3,0.03386051250457396,1.25,UD
