metric,finetune_base,value,plage,inference_base
bias,base1,0.359381492780558,0.25,UD
smad,base1,0.1512080729423234,0.25,UD
outl,base1,0.8046069418433148,0.25,UD
bias,base1,0.08983875376710669,0.75,UD
smad,base1,0.07811667135107415,0.75,UD
outl,base1,0.5176185385867447,0.75,UD
bias,base1,-0.007456968780425154,1.25,UD
smad,base1,0.09516181771417853,1.25,UD
outl,base1,0.6090678998653543,1.25,UD
bias,base1,-0.10048932743333151,1.75,UD
smad,base1,0.13625809058158184,1.75,UD
outl,base1,0.7351759405372473,1.75,UD
bias,base1,-0.18263278722810747,2.25,UD
smad,base1,0.17738990294432302,2.25,UD
outl,base1,0.7985082047937834,2.25,UD
bias,base1,-0.30960378539186373,2.75,UD
smad,base1,0.37145106326339716,2.75,UD
outl,base1,0.8914903922345405,2.75,UD
bias,base1,-0.3830810744513403,3.25,UD
smad,base1,0.1892925593122839,3.25,UD
outl,base1,0.9149305552378714,3.25,UD
bias,base1,-0.43533778634373255,3.75,UD
smad,base1,0.1535363587892964,3.75,UD
outl,base1,0.9656283555686054,3.75,UD
bias,base1,-0.49653056400830875,4.25,UD
smad,base1,0.14232486952256007,4.25,UD
outl,base1,0.934579436340874,4.25,UD
bias,base1,-0.5252119746226112,4.75,UD
smad,base1,0.15772836669407003,4.75,UD
outl,base1,0.9938650245775152,4.75,UD
bias,base1,-0.6038234467172585,5.25,UD
smad,base1,0.05387481242242883,5.25,UD
outl,base1,0.9999999629629643,5.25,UD
bias,base1,-0.6763856725207531,5.75,UD
smad,base1,0.040834646786104135,5.75,UD
outl,base1,0.9999997500000625,5.75,UD
bias,base2,0.23967252792620944,0.25,UD
smad,base2,0.08599852237068555,0.25,UD
outl,base2,0.8503967282725577,0.25,UD
bias,base2,0.018084221262541764,0.75,UD
smad,base2,0.04826230280058048,0.75,UD
outl,base2,0.3101664503262166,0.75,UD
bias,base2,-0.04098565414723807,1.25,UD
smad,base2,0.05837970863436252,1.25,UD
outl,base2,0.5789457238202997,1.25,UD
bias,base2,-0.08692831359498895,1.75,UD
smad,base2,0.1250841489419689,1.75,UD
outl,base2,0.6538414707991086,1.75,UD
bias,base2,-0.15415808807083822,2.25,UD
smad,base2,0.11965058661631044,2.25,UD
outl,base2,0.7164594728278011,2.25,UD
bias,base2,-0.2901753397280858,2.75,UD
smad,base2,0.271224911943116,2.75,UD
outl,base2,0.8164056191157103,2.75,UD
bias,base2,-0.3202395761017473,3.25,UD
smad,base2,0.3509305613856371,3.25,UD
outl,base2,0.8010416663885273,3.25,UD
bias,base2,-0.39873868750341873,3.75,UD
smad,base2,0.2544552235334414,3.75,UD
outl,base2,0.9183673459523444,3.75,UD
bias,base2,-0.5458486817747911,4.25,UD
smad,base2,0.05218001569566607,4.25,UD
outl,base2,0.9470404954920857,4.25,UD
bias,base2,-0.6353813091594658,4.75,UD
smad,base2,0.029237235528128038,4.75,UD
outl,base2,0.9815950860024841,4.75,UD
bias,base2,-0.6375567568093273,5.25,UD
smad,base2,0.019094556735266627,5.25,UD
outl,base2,0.9999999629629643,5.25,UD
bias,base2,-0.6382349746212808,5.75,UD
smad,base2,0.08688227998143366,5.75,UD
outl,base2,0.9999997500000625,5.75,UD
